geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
87,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04478940000080911,83,1
88,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04036929999892891,84,1
89,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04560289999972156,85,1
90,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04088210000008985,86,1
91,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03937009999935981,87,1
92,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03561520000039309,88,1
93,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.040486300000338815,89,1
94,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04577190000054543,90,1
95,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04271610000068904,91,1
96,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04284980000011274,92,1
97,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.046917699999539764,93,1
98,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0409111999997549,94,1
99,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03891780000049039,95,1
100,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03668340000149328,96,1
1,133,133,126.06172839506173,117,3.5947344173344753,133.0,0.0,0.0,0.0,0.0,0.0,0.41953710000052524,0,2
2,133,133,132.4814814814815,129,1.155887891431647,133.0,0.0,0.0,0.0,0.0,0.0,0.5195085000013933,1,2
3,133,133,132.97530864197532,131,0.22084621999997925,133.0,0.0,0.0,0.0,0.0,0.0,0.39997220000077505,2,2
4,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4493196999992506,3,2
5,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4374822000008862,4,2
6,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3695956000010483,5,2
7,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3586623999999574,6,2
8,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.38457550000021,7,2
9,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.33812870000110706,8,2
10,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3666862999998557,9,2
